,iid,caption
9954,I000308906,a street sign on a pole in front of a building
9955,I000309018,a green iguana sitting on a branch in the grass
9956,I000309025,a screenshot of a tweet with a picture of a train
9957,I000309034,a collage of photos of different pictures of different things
9958,I000309120,a cat jumping off a wall into a mirror
9959,I000309161,a little girl wearing a pink elephant costume
9960,I000309165,a red tree in front of a red bush
9961,I000309242,a young boy is playing with a
9962,I000309257,a white flower sitting in a glass vase
9963,I000309278,a cat laying on a table next to a bowl
9964,I000309346,a snake laying on the ground next to a shoe
9965,I000309368,a pile of white ice cubes
9966,I000309369,a pile of ice on the side of a mountain
9967,I000309417,three trees in a field with leaves on the ground
9968,I000309579,a close up of a persons eye with a reflection in it
9969,I000309590,a little girl is looking at the camera
9970,I000309647,a bridge over a lake with a small building on it
9971,I000309688,a man with a cross tattoo on his chest
9972,I000309691,a woman is walking down a hallway with an umbrella
9973,I000309712,a red and yellow flower on a black background
9974,I000309714,a person jumping in the air in a park
9975,I000309715,a person is sleeping on a bed
9976,I000309723,a city street with a tall building in the background
9977,I000309732,a ferris wheel is lit up at night
9978,I000309734,a table with a purple and blue rocket on it
9979,I000309742,a little boy with his mouth open
9980,I000309919,a large fire in the dark
9981,I000309925,a man is standing next to a group of soldiers
9982,I000310015,a black and white photo of a man playing a violin
9983,I000310063,a statue of a man holding a flag on top of a rock
9984,I000310065,a group of fish aspiration cans sitting next to each other
9985,I000310126,a view of a river with boats in the water
9986,I000310174,a group of girls in uniform posing for a picture
9987,I000310254,a woman in a black dress walking on the street
9988,I000310256,three women in black dresses posing for a picture
9989,I000310271,a stop sign and a railroad crossing sign
9990,I000310312,a man taking a picture of himself in a mirror
9991,I000310331,a woman on a carousel with a dog
9992,I000310405,four cheerleaders in orange uniforms standing on a football field
9993,I000310468,a collage of pictures of different flowers and plants
9994,I000310486,a black and white photo of some thorny branches
9995,I000310488,a little girl sitting in a high chair
9996,I000310497,a bridge over the ocean at night with a light on it
9997,I000310516,a red and white vase with a cherry on it
9998,I000310554,a woman in high heel shoes standing on a rug
9999,I000310576,a young boy playing in the water at a pool
10000,I000310578,a dog laying on a bed with a green toy
10001,I000310592,a bird is standing in the water
10002,I000310658,a tall building with a cloudy sky above it
10003,I000310760,a young girl smiling in front of a wall
10004,I000310793,a girl standing in the water holding a bird
10005,I000310841,a dog is looking at three swans in the water
10006,I000310843,a set of steps leading up to a garden
10007,I000310865,a large rock in the ocean with waves in the water
10008,I000310936,a group of women sitting on a couch
10009,I000310973,a close up of a red apple with drops of water
10010,I000311062,a tree above the clouds with the sun in the sky
10011,I000311113,two women with purple hair are posing for a picture
10012,I000311143,three girls in costumes standing in the dark
10013,I000311145,a man and a woman wearing costumes in a kitchen
10014,I000311182,a hockey game on a table with players on it
10015,I000311193,a small brown and white dog on a leash
10016,I000311292,a table with a white table cloth on it
10017,I000311293,a yellow rose with a blue sky in the background
10018,I000311298,two women standing in front of a statue
10019,I000311313,two sheep grazing in a field near a body of water
10020,I000311317,two dogs are playing on a couch
10021,I000311318,a bracket fungus on a tree in the forest
10022,I000311332,a painting of a building with boats in front of it
10023,I000311371,a yellow flower in a field of purple flowers
10024,I000311382,a black dog running on a trail
10025,I000311396,a person wearing a pair of knit gloves on their hands
10026,I000311419,a dog is sleeping on a bed
10027,I000311421,a man wearing a colorful shirt and a man with dreadlocks
10028,I000311423,a tree lined street with the sun shining through the trees
10029,I000311428,a cloudy sky over a beach and the ocean
10030,I000311460,three dogs playing with each other in a field
10031,I000311464,a dog laying on a table by a lake
10032,I000311507,a no public right of way sign on a fence
10033,I000311516,a brown dog standing in front of a lake
10034,I000311552,a row of sandwiches with cucumbers and carrots on a blue table
10035,I000311553,three fireworks exploding in the night sky
10036,I000311571,a group of people are dancing in a crowd
10037,I000311582,a river in the middle of a forest under a blue sky
10038,I000311586,a bridge over a highway with trees and a blue sky
10039,I000311588,a yellow line in the middle of a road
10040,I000311604,a lake with a red and orange tree next to it
10041,I000311621,a woman wearing a pink scarf and a crowd of people
10042,I000311641,a large group of people standing around a dj controller
10043,I000311643,a woman standing in front of a blue door
10044,I000311644,a bridge over a highway with a blue sky
10045,I000311645,a sunset with orange clouds and trees in the foreground
10046,I000311646,a squirrel is sitting on a tree branch
10047,I000311648,a view of a river in the fall from a bridge
10048,I000311654,a bridge over a body of water with trees
10049,I000311665,a view of the fall colors in the mountains
10050,I000311674,three women sitting at a table
10051,I000311737,two skeins of blue and green yarn sitting next to each other
10052,I000311754,a baby orangutan with its mouth open
10053,I000311756,a young girl is sitting on a toy car
10054,I000311771,a padlock on a railing with a sign on it
10055,I000311803,an old car driving down the street with a person in it
10056,I000311857,a water droplet on the end of a green plant
10057,I000311884,a bird eating from a bowl of food on a table
10058,I000312048,a parking sign is posted on the side of a building
10059,I000312049,a man sitting on top of a white fire hydrant
10060,I000312066,two dogs are sitting on a couch wearing a hat
10061,I000312078,a pink and white flower with water droplets on it
10062,I000312080,a boy and a girl wearing glasses are hugging
10063,I000312091,a close up of a dandelion seed head on a field of grass
10064,I000312093,a cloud in the sky with a blue sky
10065,I000312164,a toy chicken in a cup on a wall
10066,I000312192,a man is holding a wine glass up to his face
10067,I000312194,a cat sitting in a basket
10068,I000312195,a woman in a white veil holding a bouquet of white flowers
10069,I000312259,a green plant with yellow leaves on it
10070,I000312262,a group of trees standing next to a body of water
10071,I000312270,three different pictures of stuffed animals with pumpkins
10072,I000312292,a purple flower with a yellow center
10073,I000312294,an old photo of a family posing for a picture
10074,I000312306,a little girl walking through the woods
10075,I000312353,a green insect is sitting on a green leaf
10076,I000312366,a green grasshopper is sitting on a green plant
10077,I000312387,a fireworks display in the night sky
10078,I000312428,a man is standing on a train with a shopping cart
10079,I000312458,a painting of a dog in a gold frame
10080,I000312470,a view of the rear view mirror of a car
10081,I000312495,a man holding a small cat in his hand
10082,I000312498,a brown dog sitting on top of a wooden table
10083,I000312506,a pigeon sitting on a fence with the sunset
10084,I000312513,a lightning storm over the ocean at the beach
10085,I000312519,a brown and black dog looking at the camera
10086,I000312528,a man in a suit and tie looking at the camera
10087,I000312542,an old wooden post in the ground next to some rocks
10088,I000312551,a woman in a blue dress holding a blue surfboard
10089,I000312552,a child running through the leaves in the woods
10090,I000312568,an airplane flying in the sky with the sun behind it
10091,I000312591,a brown and white dog looking up at the camera
10092,I000312614,a duck swimming in a body of water
10093,I000312630,the sun is setting over a body of water
10094,I000312651,a view of a valley and mountains with a cloudy sky
10095,I000312771,a large crowd of people standing around at a market at night
